City,Median_Home_Price_2023,Median_Household_Income_2023,Price_to_Income_Ratio,Avg_Rent_2Bedroom_2024,Rent_Increase_2010_2024_Pct,Vacancy_Rate_2024_Pct,Housing_Starts_Per_1000_People,Housing_Gap_Per_1000_People,Population_Growth_2016_2023_Pct,Affordability_Crisis_Score,Rental_Crisis_Score,Construction_Crisis_Score,Overall_Crisis_Score,Affordability_Rank,Rental_Affordability_Rank,Construction_Rank,Overall_Rank,Price_to_Income_Ratio_Vs_Avg_Pct,Price_to_Income_Ratio_Vs_Avg_Abs,Avg_Rent_2Bedroom_2024_Vs_Avg_Pct,Avg_Rent_2Bedroom_2024_Vs_Avg_Abs,Housing_Starts_Per_1000_People_Vs_Avg_Pct,Housing_Starts_Per_1000_People_Vs_Avg_Abs,Housing_Gap_Per_1000_People_Vs_Avg_Pct,Housing_Gap_Per_1000_People_Vs_Avg_Abs,Overall_Crisis_Score_Vs_Avg_Pct,Overall_Crisis_Score_Vs_Avg_Abs
Burlington,1100000,89300,12.32,1993,84.2,1.8,1.2,40.2,8.7,3.08,1.33,2.5,6.91,3,2,1,1,25.71428571428571,2.5199999999999996,10.968819599109136,197,-54.02298850574713,-1.41,52.56166982922201,13.850000000000001,43.95833333333334,2.1100000000000003
Oakville,1350000,125000,10.8,2100,79.1,1.5,1.4,32.1,6.2,2.7,1.4,2.14,6.24,2,1,2,2,10.20408163265305,1.0,16.92650334075725,304,-46.36015325670498,-1.21,21.82163187855788,5.75,30.000000000000004,1.4400000000000004
Milton,950000,105000,9.05,1850,76.2,1.9,3.1,18.7,22.4,2.26,1.23,0.97,4.46,11,7,14,13,-7.653061224489798,-0.75,3.0066815144766057,54,18.77394636015326,0.4900000000000002,-29.032258064516135,-7.650000000000002,-7.08333333333333,-0.33999999999999986
Hamilton,750000,78000,9.62,1650,68.4,2.1,2.8,25.4,5.8,2.41,1.1,1.07,4.58,8,14,13,12,-1.836734693877562,-0.1800000000000015,-8.129175946547884,-146,7.279693486590033,0.18999999999999995,-3.6053130929791344,-0.9500000000000028,-4.583333333333329,-0.21999999999999975
Mississauga,980000,85000,11.53,1950,72.3,1.7,2.5,31.8,4.3,2.88,1.3,1.2,5.38,4,3,10,5,17.653061224489775,1.7299999999999986,8.574610244988868,154,-4.214559386973171,-0.10999999999999988,20.6831119544592,5.449999999999999,12.083333333333336,0.5800000000000001
Toronto,1050000,85000,12.35,2100,75.5,1.6,3.0,36.5,4.1,3.09,1.4,1.0,5.49,1,1,12,4,26.020408163265294,2.549999999999999,16.92650334075725,304,14.942528735632198,0.3900000000000001,38.51992409867171,10.149999999999999,14.375000000000004,0.6900000000000004
London,620000,72000,8.61,1550,62.1,2.3,2.7,21.3,7.2,2.15,1.03,1.11,4.29,13,13,11,14,-12.142857142857155,-1.1900000000000013,-13.697104677060135,-246,3.4482758620689724,0.0900000000000003,-19.165085388994306,-5.050000000000001,-10.624999999999996,-0.5099999999999998
Kitchener,680000,82000,8.29,1700,65.3,2.0,3.2,19.8,10.3,2.07,1.13,0.94,4.14,14,10,14,15,-15.40816326530614,-1.5100000000000016,-5.345211581291764,-96,22.60536398467434,0.5900000000000003,-24.85768500948766,-6.550000000000001,-13.750000000000007,-0.6600000000000001
Cambridge,650000,78000,8.33,1600,63.8,2.2,2.9,22.1,8.9,2.08,1.07,1.03,4.18,12,12,9,11,-15.000000000000002,-1.4700000000000006,-10.913140311804003,-196,11.111111111111116,0.29000000000000004,-16.129032258064512,-4.25,-12.916666666666664,-0.6200000000000001
Guelph,720000,81000,8.89,1750,67.2,2.1,2.8,20.7,9.1,2.22,1.17,1.07,4.46,9,8,8,13,-9.285714285714286,-0.9100000000000001,-2.5612472160356337,-46,7.279693486590033,0.18999999999999995,-21.442125237191657,-5.650000000000002,-7.08333333333333,-0.33999999999999986
Barrie,680000,78000,8.72,1700,64.5,2.2,2.6,23.6,8.4,2.18,1.13,1.15,4.46,10,10,7,13,-11.020408163265305,-1.08,-5.345211581291764,-96,-0.3831417624520994,-0.009999999999999787,-10.436432637571158,-2.75,-7.08333333333333,-0.33999999999999986
Oshawa,750000,76000,9.87,1800,66.7,2.0,2.7,26.9,7.6,2.47,1.2,1.11,4.78,6,6,11,9,0.7142857142856895,0.06999999999999851,0.22271714922048602,4,3.4482758620689724,0.0900000000000003,2.0872865275142205,0.5499999999999972,-0.4166666666666541,-0.019999999999999574
Whitby,820000,82000,10.0,1850,69.8,1.9,2.4,29.4,8.2,2.5,1.23,1.25,4.98,5,7,4,7,2.0408163265306145,0.1999999999999993,3.0066815144766057,54,-8.045977011494255,-0.20999999999999996,11.574952561669827,3.049999999999997,3.750000000000009,0.1800000000000006
Ajax,790000,79000,10.0,1900,71.2,1.8,2.3,31.2,7.9,2.5,1.27,1.3,5.07,5,4,3,6,2.0408163265306145,0.1999999999999993,5.790645879732748,104,-11.877394636015326,-0.31000000000000005,18.40607210626186,4.849999999999998,5.625000000000013,0.27000000000000046
Average (excl Burlington),814286,83143,9.8,1796,69.1,1.96,2.61,26.35,7.96,2.45,1.2,1.15,4.8,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
