Burlington — Historical Starts by Dwelling Type  
2010 to 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
2010,293,180,183,435,"1,091",
2011,354,4,78,150,586,
2012,144,2,165,338,649,
2013,90,14,163,547,814,
2014,95,0,96,120,311,
2015,79,4,43,333,459,
2016,44,0,0,665,709,
2017,100,2,0,638,740,
2018,148,66,23,475,712,
2019,64,0,132,360,556,
2020,60,62,56,503,681,
2021,73,0,70,404,547,
2022,127,0,0,0,127,
2023,57,30,213,0,300,
2024,66,4,44,"1,018","1,132",

Source,CMHC Starts and Completions Survey
