OBJECTID,FULL_ZONING,NOTE,HTML,VIEWER_HTML,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
488,H-RM2-145,"SEE PART 11, APPENDIX A22",<A HREF=https://www.burlington.ca/en/zoning/exception_145.asp TARGET=new>H-RM2-145</A>,https://www.burlington.ca/en/zoning/exception_145.asp ,{2FB9661A-A374-44E0-B927-30D715830CB6},,,,,1445.14494316371,222.691175523789
19857,H-RM2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp TARGET=new>H-RM2</A>,https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp ,{C50C95F2-A806-402C-8DCE-B4AD61CF2AFB},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,5428.06550462204,377.647987209259
19858,R5-309, ,<A HREF=https://www.burlington.ca/en/zoning/exception_309.asp TARGET=new>R5-309</A>,https://www.burlington.ca/en/zoning/exception_309.asp ,{3DF7145A-BB76-45DD-9799-D1D3C13487A5},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,11893.5837586281,633.248869390853
19859,PC, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_3_pc_zone.asp TARGET=new>PC</A>,https://www.burlington.ca/en/zoning/part_10_3_pc_zone.asp ,{10A75DEB-4287-4C51-A56B-EB45026799CD},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,39072.3443400003,875.264339299505
19860,R3.2-318, ,<A HREF=https://www.burlington.ca/en/zoning/exception_318.asp TARGET=new>R3.2-318</A>,https://www.burlington.ca/en/zoning/exception_318.asp ,{793C821A-4EBE-4D73-8B4A-0CEF28B32DD8},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,16681.1099800001,575.05139346865
19861,H-MXT-532, ,<A HREF=https://www.burlington.ca/en/zoning/exception_345.asp TARGET=new>H-MXT-532</A>,https://www.burlington.ca/en/zoning/exception_532.asp ,{79E199B6-AC5A-46D1-9686-3AFB4D3ED275},COB,2022/06/29 13:08:32+00,MAW,2024/01/10 14:43:32+00,49559.1432176063,889.087121849324
19862,RM2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp TARGET=new>RM2</A>,https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp ,{4D36F46C-FB73-4223-906C-884B8AC4696B},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,23443.0144800002,653.32663160128
19863,DC-19, ,<A HREF=https://www.burlington.ca/en/zoning/exception_019.asp TARGET=new>DC-19</A>,https://www.burlington.ca/en/zoning/exception_019.asp ,{23574A66-5A82-4400-859A-6C6B5733B27C},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,752.374740000006,128.684460114142
19864,RM2-215, ,<A HREF=https://www.burlington.ca/en/zoning/exception_215.asp TARGET=new>RM2-215</A>,https://www.burlington.ca/en/zoning/exception_215.asp ,{BB05472F-FE95-4BBB-BFC5-BDCFCF37B939},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,9057.00705089927,475.408897432952
19865,RNA1, ,<A HREF=https://www.burlington.ca/en/zoning/part_9_4_rna1_zone_regulations.asp TARGET=new>RNA1</A>,https://www.burlington.ca/en/zoning/part_9_4_rna1_zone_regulations.asp ,{718A8B18-D255-4B68-99D7-85D6D8C71D4E},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,2320.03139000002,228.77288878959
19866,O3, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_6_o3_zone.asp TARGET=new>03</A>,https://www.burlington.ca/en/zoning/part_10_6_o3_zone.asp ,{7580E9C7-1596-4E22-819C-BD284D2BF8A7},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,1527.81250000001,157.406986332601
19867,R4, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_5_r4_zone_regulations.asp TARGET=new>R4</A>,https://www.burlington.ca/en/zoning/part_2_5_r4_zone_regulations.asp ,{F92057B2-0F83-457C-964A-1A3D55E86E6A},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,50247.2979300004,1840.45884057143
19868,RM5-235, ,<A HREF=https://www.burlington.ca/en/zoning/exception_235.asp TARGET=new>RM5-235</A>,https://www.burlington.ca/en/zoning/exception_235.asp ,{1D7F0253-6121-4CC0-9538-B9E451E68866},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,5636.85929000004,302.487915502973
19869,UCR1-74,,<A HREF=https://www.burlington.ca/en/zoning/exception_074.asp TARGET=new>UCR1-74</A>,https://www.burlington.ca/en/zoning/exception_074.asp ,{1895F689-349F-4A18-821A-D716503C8CDA},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,54008.1071109236,1037.49241345488
