Burlington — Historical Vacancy Rates by Bedroom Type  
2010 to 2024 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2010 October,**,,0.9,a ,1.4,a ,2.2,c ,1.4,a ,
2011 October,**,,0.6,a ,1.3,a ,0.4,a ,0.9,a ,
2012 October,**,,1.3,a ,1.2,a ,1.6,b ,1.3,a ,
2013 October,**,,1.7,b ,1.8,b ,1.8,c ,1.8,b ,
2014 October,**,,2.1,b ,1.2,a ,0.4,a ,1.3,a ,
2015 October,**,,1.4,a ,1.9,a ,1.1,a ,1.7,a ,
2016 October,0.6,b ,1.1,a ,1.2,a ,0.7,b ,1.1,a ,
2017 October,3.0,d ,1.3,a ,1.4,a ,0.9,a ,1.3,a ,
2018 October,**,,1.0,a ,2.2,b ,1.6,b ,1.7,b ,
2019 October,**,,1.3,a ,2.0,b ,1.2,a ,1.7,a ,
2020 October,**,,1.7,b ,2.1,a ,1.5,a ,2.0,a ,
2021 October,**,,0.9,a ,1.2,a ,1.6,b ,1.2,a ,
2022 October,**,,1.1,a ,1.1,a ,1.6,b ,1.2,a ,
2023 October,**,,1.3,a ,1.9,b ,0.7,a ,1.6,b ,
2024 October,**,,1.5,b ,2.2,a ,0.9,a ,1.8,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
